id,function,design_role_model,design_html,design_css_position,design_css_color,error,release,image_url,link_url,name,explanatory_text
1,1,3,2,5,4,5,1,image1.jpg,d,ChatGPT,1
2,1,3,2,5,4,1,5,image2.jpg,dd,Adobe Color,1
3,1,3,2,5,4,5,1,image3.jpg,d,Bootstrap,1
4,1,3,2,5,4,5,1,image4.jpg,d,SANKOU,1
5,1,3,2,5,4,5,1,image5.jpg,d,Hugging Face,1
6,1,3,2,5,4,5,1,image6.jpg,d,Mosyasyugyo,1
7,1,3,2,5,4,5,1,image7.jpg,d,Codejump,1
8,1,3,2,5,4,5,1,image8.jpg,d,1GOO,1
9,1,3,2,5,4,5,1,image9.jpg,d,Screenshot_to_Code,1
10,1,3,2,5,4,5,1,image10.jpg,https://gemini.google.com/app,Gemini,1
11,1,3,2,5,4,5,1,image11.jpg,d,Web_design_idea,1
12,1,3,2,5,4,5,1,image12.jpg,https://webdesignclip.com/,WebDesignClip,1
13,1,3,2,5,4,5,1,image13.jpg,https://io3000.com/,I/O_3000,1
14,1,3,2,5,4,5,1,image14.jpg,https://design-library.jp/,BANNER_LIBRARY,1
15,1,3,2,5,4,5,1,image15.jpg,https://coolors.co/,Coolors,1
16,1,3,2,5,4,5,1,image16.jpg,https://www.canva.com/,Canva,1
17,1,3,2,5,4,5,1,image17.jpg,https://www.behance.net/,Behance,1
