id,function,design_role_model,design_html,design_css_position,design_css_color,error,release,image_url,link_url,name,explanatory_text
1,1,3,2,5,4,5,1,image1.jpg,a,ChatGPT,a
2,1,3,2,5,4,1,5,image2.jpg,a,Adobe Color,a
3,1,3,2,5,4,5,1,image3.jpg,a,Bootstrap,a
4,1,3,2,5,4,5,1,image4.jpg,a,SANKOU,a
5,1,3,2,5,4,5,1,image5.jpg,a,Hugging Face,a
6,1,3,2,5,4,5,1,image6.jpg,a,Mosyasyugyo,a
7,1,3,2,5,4,5,1,image7.jpg,a,Codejump,a
8,1,3,2,5,4,5,1,image8.jpg,a,1GOO,a
9,1,3,2,5,4,5,1,image9.jpg,a,Screenshot_to_Code,a
10,1,3,2,5,4,5,1,image10.jpg,https://gemini.google.com/app,Gemini,a
11,1,3,2,5,4,5,1,image11.jpg,a,Web_design_idea,a
12,1,3,2,5,4,5,1,image12.jpg,https://webdesignclip.com/,WebDesignClip,a
13,1,3,2,5,4,5,1,image13.jpg,https://io3000.com/,I/O_3000,a
14,1,3,2,5,4,5,1,image14.jpg,https://design-library.jp/,BANNER_LIBRARY,a
15,1,3,2,5,4,5,1,image15.jpg,https://coolors.co/,Coolors,a
16,1,3,2,5,4,5,1,image16.jpg,https://www.canva.com/,Canva,a
17,1,3,2,5,4,5,1,image17.jpg,https://www.behance.net/,Behance,a
